timestamp_ms,x,y,z
405090,0.815625,-0.0390625,9.8828125
405100,0.815625,-0.0390625,9.8828125
405110,0.815625,-0.0390625,9.7265625
405120,0.815625,-0.0390625,9.808594
405130,0.815625,-0.0390625,9.84375
405140,0.7765625,-0.0390625,9.765625
405150,0.89375,-0.078125,9.847656
405160,0.8546875,-0.0390625,9.84375
405170,0.815625,-0.0390625,9.84375
405180,0.815625,-0.078125,9.808594
405190,0.8546875,-0.0390625,9.769531
405200,0.8546875,-0.078125,9.8828125
405210,0.815625,-0.078125,9.8828125
405220,0.8546875,0.0,9.808594
405230,0.8546875,0.0,9.808594
405240,0.815625,0.0,9.769531
405250,0.89375,-0.0390625,9.765625
405260,0.815625,0.0,9.769531
405270,0.89375,-0.078125,9.847656
405280,0.89375,0.0,9.730469
405290,0.815625,-0.078125,9.8828125
405300,0.815625,-0.078125,9.84375
405310,0.8546875,0.0,9.769531
405320,0.815625,-0.078125,9.808594
405330,0.8546875,-0.078125,9.769531
405340,0.8546875,-0.078125,9.925781
405350,0.7765625,-0.078125,9.765625
405360,0.8546875,-0.078125,9.7265625
405370,0.89375,-0.078125,9.8046875
405380,0.815625,0.0,9.808594
405390,0.89375,-0.078125,9.730469
405400,0.89375,-0.078125,9.8046875
405410,0.8546875,-0.0390625,9.769531
405420,0.89375,-0.0390625,9.8046875
405430,0.815625,-0.0390625,9.652344
405440,0.8546875,-0.078125,9.769531
405450,0.9328125,0.0,9.8046875
405460,0.8546875,0.0,9.808594
405470,0.815625,-0.0390625,9.7265625
405480,0.8546875,-0.0390625,9.7265625
405490,0.8546875,0.0,9.7265625
405500,0.74140626,0.0,9.769531
405510,0.89375,-0.0390625,9.8046875
405520,0.7765625,-0.0390625,9.847656
405530,0.815625,-0.0390625,9.808594
405540,0.815625,-0.0390625,9.84375
405550,0.815625,-0.0390625,9.808594
405560,0.815625,-0.078125,9.84375
405570,0.815625,0.0,9.808594
405580,0.815625,-0.078125,9.769531
405590,0.8546875,0.0,9.7265625
405600,0.815625,0.0,9.808594
405610,0.815625,-0.0390625,9.808594
405620,0.815625,-0.0390625,9.808594
405630,0.815625,0.0,9.769531
405640,0.815625,-0.0390625,9.84375
405650,0.815625,-0.0390625,9.769531
405660,0.8546875,-0.0390625,9.84375
405670,0.8546875,-0.0390625,9.808594
405680,0.8546875,-0.0390625,9.7265625
405690,0.89375,-0.11328125,9.765625
405700,0.815625,-0.078125,9.808594
405710,0.815625,-0.078125,9.808594
405720,0.89375,0.0,9.691406
405730,0.7765625,-0.078125,9.8046875
405740,0.89375,-0.0390625,9.730469
405750,0.8546875,0.0390625,9.652344
405760,0.815625,0.0,9.769531
405770,0.89375,-0.0390625,9.691406
405780,0.89375,-0.11328125,9.765625
405790,0.89375,-0.0390625,9.730469
405800,0.8546875,-0.078125,9.7265625
405810,0.8546875,-0.078125,9.808594
405820,0.8546875,0.0,9.7265625
405830,0.89375,-0.0390625,9.765625
405840,0.8546875,0.0,9.769531
405850,0.89375,-0.078125,9.765625
405860,0.89375,-0.078125,9.847656
405870,0.8546875,-0.0390625,9.7265625
405880,0.815625,0.0,9.769531
405890,0.8546875,-0.078125,9.7265625
405900,0.89375,-0.078125,9.847656
405910,0.8546875,0.0,9.769531
405920,0.89375,-0.11328125,9.8046875
405930,0.815625,-0.0390625,9.769531
405940,0.815625,-0.11328125,9.84375
405950,0.8546875,-0.11328125,9.84375
405960,0.8546875,-0.0390625,9.7265625
405970,0.815625,-0.078125,9.808594
405980,0.8546875,-0.11328125,9.84375
405990,0.815625,-0.078125,9.8828125
406000,0.815625,-0.0390625,9.808594
406010,0.89375,-0.0390625,9.765625
406020,0.815625,-0.0390625,9.808594
406030,0.8546875,-0.0390625,9.7265625
406040,0.89375,-0.11328125,9.8046875
406050,0.815625,-0.0390625,9.808594
406060,0.8546875,-0.0390625,9.8828125
406070,0.89375,0.0,9.765625
406080,0.815625,0.0390625,9.769531
406090,0.8546875,-0.078125,9.84375
406100,0.8546875,-0.11328125,9.8828125
406110,0.8546875,-0.0390625,9.84375
406120,0.815625,-0.0390625,9.808594
406130,0.7765625,-0.0390625,9.886719
406140,0.815625,-0.11328125,9.84375
406150,0.8546875,-0.0390625,9.769531
406160,0.7765625,-0.0390625,9.765625
406170,0.8546875,-0.0390625,9.808594
406180,0.815625,-0.078125,9.925781
406190,0.815625,-0.078125,9.808594
406200,0.8546875,0.0,9.808594
406210,0.815625,-0.0390625,9.84375
406220,0.815625,-0.078125,9.808594
406230,0.815625,-0.11328125,9.8828125
406240,0.815625,0.0390625,9.769531
406250,0.7765625,0.0,9.8046875
406260,0.8546875,-0.078125,9.8828125
406270,0.815625,-0.078125,9.8828125
406280,0.815625,0.0390625,9.7265625
406290,0.8546875,-0.078125,9.84375
406300,0.8546875,0.0,9.7265625
406310,0.815625,0.0,9.769531
406320,0.815625,-0.0390625,9.769531
406330,0.815625,-0.0390625,9.769531
406340,0.8546875,-0.078125,9.808594
406350,0.8546875,-0.078125,9.808594
406360,0.815625,0.0,9.769531
406370,0.8546875,-0.0390625,9.84375
406380,0.815625,-0.078125,9.925781
406390,0.7765625,-0.0390625,9.730469
406400,0.8546875,0.0390625,9.7265625
406410,0.815625,-0.0390625,9.808594
406420,0.815625,-0.0390625,9.769531
406430,0.815625,-0.11328125,9.8828125
406440,0.89375,-0.0390625,9.765625
406450,0.815625,-0.0390625,9.808594
406460,0.89375,-0.0390625,9.691406
406470,0.7765625,-0.11328125,9.886719
406480,0.8546875,0.0,9.808594
406490,0.9328125,-0.0390625,9.765625
406500,0.89375,-0.11328125,9.886719
406510,0.815625,-0.0390625,9.769531
406520,0.815625,-0.0390625,9.769531
406530,0.8546875,-0.0390625,9.7265625
406540,0.815625,-0.11328125,9.769531
406550,0.89375,-0.078125,9.765625
406560,0.8546875,0.0,9.7265625
406570,0.89375,-0.11328125,9.765625
406580,0.8546875,-0.0390625,9.84375
406590,0.8546875,0.0,9.7265625
406600,0.815625,-0.078125,9.808594
406610,0.8546875,-0.0390625,9.808594
406620,0.8546875,-0.078125,9.769531
406630,0.815625,0.0,9.6875
406640,0.8546875,-0.078125,9.808594
406650,0.7765625,-0.078125,9.8046875
406660,0.815625,-0.0390625,9.84375
406670,0.89375,-0.078125,9.847656
406680,0.8546875,0.0,9.7265625
406690,0.8546875,-0.078125,9.808594
406700,0.8546875,-0.0390625,9.7265625
406710,0.815625,-0.0390625,9.7265625
406720,0.815625,0.0390625,9.6875
406730,0.89375,-0.0390625,9.765625
406740,0.8546875,-0.0390625,9.769531
406750,0.815625,-0.0390625,9.7265625
406760,0.8546875,-0.11328125,9.84375
406770,0.815625,-0.078125,9.808594
406780,0.8546875,-0.0390625,9.808594
406790,0.815625,-0.078125,9.84375
406800,0.89375,-0.11328125,9.847656
406810,0.815625,-0.078125,9.769531
406820,0.8546875,-0.0390625,9.808594
406830,0.815625,-0.0390625,9.769531
406840,0.8546875,-0.0390625,9.769531
406850,0.8546875,-0.078125,9.7265625
406860,0.89375,-0.078125,9.847656
406870,0.89375,-0.078125,9.847656
406880,0.8546875,0.0,9.7265625
406890,0.8546875,-0.0390625,9.7265625
406900,0.8546875,-0.0390625,9.7265625
406910,0.89375,-0.078125,9.847656
406920,0.8546875,-0.078125,9.7265625
406930,0.89375,-0.078125,9.730469
406940,0.89375,-0.0390625,9.8046875
406950,0.8546875,-0.0390625,9.769531
406960,0.89375,-0.15234375,9.8046875
406970,0.8546875,0.0,9.769531
406980,0.815625,-0.0390625,9.808594
406990,0.815625,-0.078125,9.84375
407000,0.8546875,-0.078125,9.808594
407010,0.8546875,-0.078125,9.808594
407020,0.815625,-0.0390625,9.769531
407030,0.815625,-0.078125,9.808594
407040,0.8546875,0.0,9.769531
407050,0.8546875,0.0,9.769531
407060,0.815625,-0.0390625,9.808594
407070,0.7765625,-0.11328125,9.921875
407080,0.815625,-0.078125,9.84375
407090,0.815625,0.0,9.808594
407100,0.7765625,-0.0390625,9.8046875
407110,0.8546875,-0.11328125,9.8828125
407120,0.815625,0.0390625,9.769531
407130,0.7765625,-0.0390625,9.765625
407140,0.8546875,-0.078125,9.808594
407150,0.8546875,-0.078125,9.8828125
407160,0.815625,0.0,9.808594
407170,0.8546875,-0.0390625,9.769531
407180,0.815625,-0.0390625,9.8828125
407190,0.815625,-0.0390625,9.84375
407200,0.815625,-0.15234375,9.9609375
407210,0.815625,-0.0390625,9.808594
407220,0.89375,-0.0390625,9.765625
407230,0.8546875,-0.11328125,9.84375
407240,0.8546875,-0.078125,9.808594
407250,0.815625,-0.0390625,9.84375
407260,0.7765625,-0.0390625,9.921875
407270,0.8546875,-0.11328125,9.925781
407280,0.7765625,-0.0390625,9.8046875
407290,0.815625,-0.0390625,9.8828125
407300,0.8546875,-0.078125,9.84375
407310,0.815625,-0.0390625,9.84375
407320,0.815625,-0.078125,9.808594
407330,0.815625,-0.0390625,9.808594
407340,0.815625,-0.078125,9.808594
407350,0.815625,-0.0390625,9.808594
407360,0.8546875,-0.0390625,9.8828125
407370,0.815625,-0.0390625,9.8828125
